country,year,regions,decision_freedom_core,decision_equality_core,decision_control_core,intermediate_freedom_core,intermediate_equality_core,intermediate_control_core,communication_freedom_core,communication_equality_core,communication_control_core,rights_freedom_core,rights_equality_core,rights_control_core,rule_settlement_freedom_core,rule_settlement_equality_core,rule_settlement_control_core,freedom_dim_index_core,equality_dim_index_core,control_dim_index_core,decision_inst_index_core,intermediate_inst_index_core,communication_inst_index_core,rights_inst_index_core,rule_settlement_inst_index_core,total_index_core,classification_core,decision_freedom_context,decision_equality_context,decision_control_context,intermediate_freedom_context,intermediate_equality_context,intermediate_control_context,communication_freedom_context,communication_equality_context,communication_control_context,rights_freedom_context,rights_equality_context,rights_control_context,rule_settlement_freedom_context,rule_settlement_equality_context,rule_settlement_control_context,freedom_dim_index_context,equality_dim_index_context,control_dim_index_context,decision_inst_index_context,intermediate_inst_index_context,communication_inst_index_context,rights_inst_index_context,rule_settlement_inst_index_context,total_index_context,classification_context,decision_freedom_trade_off,decision_equality_trade_off,decision_control_trade_off,intermediate_freedom_trade_off,intermediate_equality_trade_off,intermediate_control_trade_off,communication_freedom_trade_off,communication_equality_trade_off,communication_control_trade_off,rights_freedom_trade_off,rights_equality_trade_off,rights_control_trade_off,rule_settlement_freedom_trade_off,rule_settlement_equality_trade_off,rule_settlement_control_trade_off,freedom_dim_index_trade_off,equality_dim_index_trade_off,control_dim_index_trade_off,decision_inst_index_trade_off,intermediate_inst_index_trade_off,communication_inst_index_trade_off,rights_inst_index_trade_off,rule_settlement_inst_index_trade_off,total_index_trade_off
Bangladesh,2020,South Asia,0.140698517,0.604931887,0.234558724,0.566278226,0.39899989,0.1481671,0.329537191,0.72269562,0.501709637,0.202683212,0.261209607,0.213309438,0.077900685,0.190530207,0.175907188,0.210628228,0.387005852,0.230754348,0.271278804,0.322293445,0.492535381,0.224356677,0.137698614,0.265946738,Moderate Autocracy,0.109042375,0.478711745,0.181784719,0.449027417,0.319380935,0.117488342,0.303226423,0.623162685,0.46165235,0.157559302,0.207022236,0.165819783,0.060596325,0.151053592,0.136832289,0.169943715,0.312483084,0.186182315,0.211710429,0.256365083,0.443500906,0.175535837,0.107792525,0.214629797,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,2020,Small island states,0.907559371,0.914180921,0.878919991,0.926719542,0.850609957,0.78762512,0.92350044,0.913016489,0.82239569,0.886592584,0.832238084,0.89758815,0.850494453,0.847579178,0.693809806,0.898527163,0.870830879,0.812705978,0.900089124,0.853099028,0.885113269,0.871664977,0.793774968,0.859936062,Working Democracy,0.885595579,0.899312465,0.857649299,0.886338722,0.828427345,0.753305192,0.90108013,0.898131724,0.802429954,0.839330592,0.806399644,0.849740013,0.804156776,0.82075429,0.656008813,0.862530519,0.849676707,0.780147488,0.880680938,0.820871233,0.865971357,0.8316166,0.756521347,0.829981284,Working Democracy,0.907559371,0.685635691,0.659189993,0.852374738,0.706196485,0.78762512,0.830722126,0.776487424,0.82239569,0.886592584,0.832238084,0.880901777,0.755514454,0.847579178,0.553508118,0.844861759,0.766860294,0.730621578,0.743007201,0.779755703,0.809512719,0.86622967,0.707699709,0.779348074
Belarus,2020,Post-Soviet States (without EU-members),0.053216635,0.489859397,0.06933888,0.464168222,0.87787669,0.090514214,0.159012678,0.238310215,0.40946622,0.035292455,0.499440928,0.047232958,0.057869158,0.157048033,0.069670116,0.095687833,0.381094648,0.096703162,0.12181438,0.332870444,0.249419745,0.094074167,0.085870119,0.15221008,Moderate Autocracy,0.050243747,0.473524585,0.065465341,0.454540164,0.864242722,0.088636714,0.129574254,0.214012886,0.333660689,0.032311519,0.475418047,0.043243481,0.050190319,0.145503245,0.060425371,0.086343583,0.360141614,0.087259761,0.115916518,0.326543127,0.209936472,0.087253843,0.076132599,0.139478028,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020,Europe,0.962704872,0.982429761,0.954957234,0.941906343,0.94570832,0.874506597,0.943990071,0.960588242,0.994062998,0.931259689,0.976736405,0.842484831,0.934951165,0.980055986,0.880555139,0.942899944,0.969002393,0.907602981,0.966628364,0.920116193,0.965990526,0.915103233,0.930962361,0.93949713,Working Democracy,0.941260199,0.965582838,0.933685143,0.930862711,0.934492739,0.864253211,0.943731946,0.95467961,0.993791182,0.908102986,0.958714487,0.821535604,0.91806018,0.965321019,0.864646881,0.928303628,0.955689543,0.893553071,0.946745451,0.909286735,0.963830091,0.894300749,0.915083162,0.925498554,Working Democracy,0.722028654,0.982429761,0.716217926,0.708850396,0.94327791,0.874506597,0.878816093,0.786761112,0.994062998,0.931259689,0.976736405,0.7269365,NA,0.980055986,NA,NA,0.930598748,NA,0.797934133,0.836217233,0.882507216,0.871194018,NA,NA
Benin,2020,Sub-Saharan Africa,0.273784703,0.690463318,0.605342197,0.662727316,0.891482581,0.392699244,0.773767667,0.709264923,0.574371942,0.468812018,0.822966538,0.582514629,0.401928699,0.596334424,0.487689308,0.483615795,0.734829871,0.522084573,0.485493679,0.61447271,0.6805668,0.607989273,0.48894579,0.570351664,Hybrid Regime,0.210840624,0.594562716,0.466171869,0.595453087,0.82918933,0.352835882,0.681309924,0.653070482,0.505740057,0.411831749,0.756880341,0.511714737,0.367911513,0.559849847,0.446413784,0.419297191,0.671401093,0.452649803,0.388060414,0.558501915,0.608243357,0.542323376,0.451354226,0.503217162,Hybrid Regime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,2020,South Asia,0.719979931,0.777880652,0.741591399,0.720248797,0.884119134,0.881270337,0.582234471,0.84094218,0.69667418,0.82958522,0.852569235,0.854943536,0.604447572,0.88592804,0.752542605,0.685526264,0.847351495,0.782265929,0.746103965,0.824835785,0.698711549,0.84562153,0.738634166,0.768801174,Deficient Democracy,0.585102619,0.695416159,0.602665506,0.613155658,0.808967121,0.75023505,0.561683905,0.819104198,0.672084347,0.749649101,0.80371884,0.772563973,0.585995184,0.865051841,0.729569218,0.615757013,0.79640177,0.702651025,0.625918399,0.719282764,0.676215265,0.774994954,0.71779577,0.701068449,Deficient Democracy,0.719979931,0.583410489,0.556193549,0.587281207,0.826309604,0.881270337,0.476814334,0.782968729,0.69667418,0.82958522,0.852569235,0.838784661,0.534783991,0.88592804,0.607324192,0.617036763,0.778032809,0.704834535,0.615895254,0.753412264,0.638323958,0.840260047,0.660185238,0.696838347
Bolivia,2020,Latin America,0.4701193,0.80624096,0.74662208,0.796939588,0.824233432,0.812161611,0.663947013,0.681083033,0.644978286,0.336712026,0.506961408,0.461684624,0.582111533,0.522354376,0.567780236,0.546520361,0.654230906,0.634107387,0.656535059,0.811034561,0.663172016,0.428738989,0.556823092,0.609770962,Deficient Democracy,0.385797232,0.665401215,0.612705608,0.741133867,0.724150898,0.755289967,0.631429291,0.605116411,0.613389584,0.262114404,0.407506226,0.359399668,0.482726241,0.43336697,0.47084176,0.469628514,0.552520416,0.544892616,0.539798306,0.740081956,0.616547703,0.337339815,0.461824778,0.520960229,Hybrid Regime,NA,NA,0.577074821,0.704822986,0.713446516,0.812161611,0.562948981,0.614416997,0.644978286,0.336712026,0.506961408,0.453101799,NA,0.522354376,NA,NA,NA,NA,NA,0.741927233,0.606492988,0.426065568,NA,NA
Bosnia and Herzegovina,2020,Europe,0.484323782,0.811488792,0.813722862,0.798757235,0.709176833,0.647564159,0.703588183,0.755956345,0.701852564,0.580787535,0.656114277,0.320827845,0.601979077,0.361142594,0.52127102,0.62473173,0.634802161,0.573149832,0.683856448,0.715842341,0.720035178,0.496313715,0.483921105,0.610285957,Hybrid Regime,0.461167637,0.768998491,0.774817723,0.651722717,0.622099733,0.528361127,0.648936001,0.705049859,0.647335199,0.467806201,0.571854153,0.258416799,0.481460692,0.313653314,0.416910679,0.535241861,0.570621457,0.491048827,0.650121635,0.598344418,0.666576973,0.410415731,0.397818136,0.531301387,Hybrid Regime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2020,Sub-Saharan Africa,0.505619356,0.811342869,0.764970794,0.92902255,0.7512364,0.765683622,0.818198126,0.790729434,0.709966467,0.830137994,0.79290547,0.799170859,0.867728868,0.895205769,0.543681287,0.773479046,0.806920311,0.710204165,0.679554547,0.811491694,0.771568947,0.807242059,0.75026917,0.762466567,Deficient Democracy,0.489694498,0.771877514,0.74087747,0.849392147,0.694401764,0.700053681,0.765311621,0.739283509,0.664075815,0.789027273,0.747283642,0.759593716,0.827712682,0.845208496,0.51860888,0.730413312,0.758025666,0.670661447,0.65424438,0.744646467,0.721587492,0.765102495,0.713227047,0.718762335,Deficient Democracy,0.505619356,0.608507151,0.573728096,0.925727774,0.566091558,0.765683622,0.777743736,0.632143324,0.709966467,0.830137994,0.79290547,0.790408439,NA,0.895205769,NA,NA,0.688370803,NA,0.560959919,0.737575434,0.70409291,0.804280905,NA,NA
Brazil,2020,Latin America,0.759649905,0.939209459,0.967483974,0.913609387,0.658973514,0.843866356,0.629244507,0.816067176,0.721620582,0.658983108,0.552950417,0.621769266,0.329264302,0.466513605,0.767262834,0.624198155,0.665244612,0.775818185,0.88377133,0.797934779,0.718265078,0.609625663,0.490287748,0.685521796,Deficient Democracy,0.651145172,0.772505427,0.829293223,0.864171895,0.56937011,0.798202818,0.590588863,0.702369643,0.677290106,0.583099854,0.462090913,0.550171262,0.275212013,0.378906971,0.641308358,0.556409718,0.5579874,0.691563687,0.747186747,0.73232302,0.654950642,0.529244176,0.405903031,0.598802714,Deficient Democracy,0.569737429,0.939209459,0.72561298,0.700941629,0.647624378,0.843866356,0.512600339,0.763326199,0.721620582,0.658983108,0.552950417,0.617261487,0.27112353,0.466513605,0.727898002,0.515983005,0.654137826,0.723711489,0.729537159,0.726261303,0.656043529,0.608148842,0.451544632,0.625110378
Bulgaria,2020,Europe,0.781703646,0.872084768,0.801571508,0.83419114,0.846917244,0.727418864,0.735688409,0.729997856,0.602341817,0.638141011,0.733740811,0.786463844,0.816983911,0.752283601,0.819401359,0.757925217,0.784745992,0.742931987,0.817550089,0.80099604,0.686466747,0.716769248,0.795604553,0.761672321,Deficient Democracy,0.75269638,0.820165878,0.771826991,0.714156512,0.751033035,0.622748066,0.658617066,0.661980609,0.539239976,0.535141626,0.643980719,0.659524357,0.678237719,0.656931312,0.680244619,0.663405971,0.703654981,0.650282515,0.781052983,0.693832986,0.617191746,0.610272985,0.671721123,0.672068809,Deficient Democracy,0.690504887,0.755806799,0.677473921,0.689652941,0.781931152,0.727418864,0.582037764,0.699960548,0.602341817,0.638141011,0.733740811,0.692933176,0.738989565,0.752283601,0.663715101,0.665672621,0.744244148,0.671488597,0.707114991,0.73202833,0.626069548,0.687147908,0.717244456,0.692901639
Burkina Faso,2020,Sub-Saharan Africa,0.737841454,0.874749219,0.763485798,0.869893411,0.806945818,0.866918942,0.799177469,0.893728203,0.888659227,0.721957784,0.604287997,0.589294583,0.398121482,0.702199536,0.774163366,0.681898834,0.768294248,0.768662962,0.789858312,0.847415304,0.859398616,0.635861807,0.600393878,0.738461449,Deficient Democracy,0.680318346,0.773395884,0.703963423,0.715622456,0.673902491,0.713175492,0.77553867,0.810642378,0.862373655,0.555314065,0.487978997,0.453272445,0.360285523,0.615063373,0.70058981,0.596536494,0.661652326,0.672439202,0.718160274,0.700636047,0.815410089,0.497087727,0.537456721,0.642648199,Deficient Democracy,NA,NA,0.572614349,0.734150862,0.731129254,0.866918942,0.624916928,0.865173468,0.888659227,0.721957784,0.604287997,0.565794954,NA,0.702199536,NA,NA,NA,NA,NA,0.77491248,0.783225669,0.627294694,NA,NA
Burma/Myanmar,2020,South-East Asia,0.638699967,0.764912255,0.556641874,0.699489172,0.707868997,0.518031396,0.648084076,0.906560726,0.716651091,0.534665156,0.50348828,0.594303975,0.324818912,0.709090857,0.637235075,0.549903503,0.70587944,0.600771893,0.647880331,0.635374805,0.749512142,0.542866815,0.52749007,0.615520055,Deficient Democracy,0.515290867,0.633772914,0.449087973,0.660204772,0.634374917,0.488937947,0.631550933,0.825523984,0.698368749,0.436674959,0.419731776,0.485383536,0.292960567,0.621198066,0.57473485,0.487328026,0.612974296,0.532407921,0.527358376,0.58942172,0.71407028,0.446414603,0.471160562,0.541796323,Hybrid Regime,0.638699967,0.573684191,0.417481405,0.654420976,0.576509857,0.518031396,0.596339164,0.752302981,0.716651091,0.534665156,0.50348828,0.53292954,NA,0.709090857,NA,NA,0.616187283,NA,0.53481343,0.580327757,0.685064233,0.523496377,NA,NA
Burundi,2020,Sub-Saharan Africa,0.027550452,0.622112322,0.121972786,0.364912664,0.692999231,0.072350596,0.216450275,0.30682934,0.199439283,0.137221739,0.367402495,0.131172673,0.008765327,0.301322968,0.166567437,0.076484489,0.429669529,0.130915131,0.127865532,0.263504437,0.236603907,0.187702243,0.076055418,0.162641957,Moderate Autocracy,0.021076231,0.479814343,0.09330978,0.2827857,0.537946788,0.056067426,0.165087027,0.236290684,0.152112712,0.106121126,0.284907497,0.10144305,0.006793718,0.233923711,0.129100968,0.058908036,0.3325121,0.10083029,0.098083912,0.204316039,0.181040199,0.145292325,0.058979862,0.125465505,Hard Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,2020,South-East Asia,0.07488293,0.564876103,0.232853287,0.336235602,0.469524124,0.239102617,0.267751738,0.260216923,0.247891815,0.119292781,0.317972763,0.102401054,0.187960902,0.236599411,0.095622027,0.172142498,0.349196632,0.168328732,0.214357887,0.335450656,0.258489759,0.157194074,0.162011699,0.216291175,Moderate Autocracy,0.064065847,0.469834621,0.199216872,0.275121795,0.381916571,0.195643593,0.240289791,0.221670034,0.2224668,0.091928995,0.251003072,0.07891195,0.147358805,0.188381342,0.074966376,0.141821835,0.285014848,0.138679814,0.181676701,0.273938481,0.227983022,0.122111933,0.127671364,0.17764021,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,2020,Sub-Saharan Africa,0.158111272,0.74592602,0.18180303,0.52942651,0.634322453,0.306780594,0.506515883,0.732650136,0.65097026,0.161516196,0.594264425,0.19720165,0.196677139,0.265495908,0.282261642,0.266603784,0.559226841,0.289141554,0.277813429,0.468793107,0.622802409,0.26650301,0.245181591,0.35063474,Hybrid Regime,0.120469386,0.628788048,0.138520797,0.420721062,0.546079607,0.243790319,0.434578486,0.655368858,0.558516878,0.12303283,0.500880114,0.150215753,0.157541971,0.229472484,0.226096717,0.211870891,0.481439909,0.22978173,0.21892666,0.38260933,0.541830492,0.209969765,0.201437528,0.286182424,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,2020,North America incl. AUS+NZ,0.948779128,0.949845642,0.961505757,0.933091694,0.947202989,0.693209355,0.945837091,0.825626672,0.948820845,0.840608941,0.837251743,0.774490964,0.912416276,0.880058626,0.78852924,0.915247525,0.886440305,0.826736165,0.953359463,0.849331568,0.904887851,0.816874753,0.858698709,0.875356574,Working Democracy,0.926393476,0.930147386,0.938819831,0.914380055,0.929239844,0.679308167,0.941643601,0.816398836,0.944614127,0.832638828,0.825792512,0.767147739,0.887130205,0.859987875,0.766676489,0.899602313,0.870941626,0.812603964,0.93177239,0.832607786,0.898837378,0.807982963,0.836303562,0.860279385,Working Democracy,0.948779128,0.712384231,0.721129318,0.755060296,0.891126037,0.693209355,0.728602572,0.808845273,0.948820845,0.840608941,0.837251743,0.765638674,NA,0.880058626,NA,NA,0.823336387,NA,0.786980898,0.775523676,0.823847427,0.813750577,NA,NA
Cape Verde,2020,Sub-Saharan Africa,0.923514327,0.9443492,0.794084655,0.918149092,0.860830861,0.832056349,0.864271213,0.775222058,0.802814579,0.792011788,0.822938719,0.910446311,0.782921461,0.752396032,0.882702198,0.854065832,0.828434376,0.843219552,0.884737331,0.869616808,0.813261987,0.840332501,0.804130067,0.84184094,Working Democracy,0.904603816,0.908120985,0.777824435,0.834687686,0.797493097,0.756420929,0.847658461,0.745959509,0.787383127,0.729629324,0.767461361,0.838735403,0.716054693,0.699140082,0.807313483,0.803249308,0.780622966,0.793048377,0.861313465,0.795557349,0.792575701,0.777310603,0.739351346,0.79225281,Deficient Democracy,0.754203367,0.881392586,0.612359641,0.727311032,0.824547563,0.832056349,0.668155634,0.757325588,0.802814579,0.792011788,0.822938719,0.780524577,0.746006825,0.752396032,0.662026649,0.736397227,0.806299417,0.732836886,0.741119329,0.793163783,0.740613866,0.798292241,0.718932731,0.757772087
Central African Republic,2020,Sub-Saharan Africa,0.182551009,0.742240107,0.404231881,0.681262258,0.711188043,0.430921123,0.620556423,0.787783709,0.739299654,0.21654001,0.345303471,0.293697234,0.155866824,0.297661625,0.702693304,0.304196586,0.532318954,0.484064132,0.3797692,0.593242404,0.712310902,0.280035432,0.319458256,0.427966449,Hybrid Regime,0.137006302,0.583645924,0.303379945,0.591731498,0.601612029,0.374289929,0.558986848,0.678647165,0.665948765,0.165788121,0.274242941,0.224861505,0.123487654,0.240483156,0.556718523,0.247450738,0.435778726,0.393765191,0.289484705,0.510759493,0.632162625,0.217037441,0.254750254,0.348870328,Moderate Autocracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
